library,dataset,version,vkey,itr,category,energy,duration
Dask,Adult,2024.8.0,v1,10,I/O,0.226196,0.0239295959472656
Dask,Adult,2024.8.0,v1,10,I/O,2.720513,0.2888977527618408
Dask,Adult,2024.8.0,v1,10,I/O,3.24694,0.3600599765777588
Dask,Adult,2024.8.0,v1,10,I/O,3.208549,0.3467216491699219
Dask,Adult,2024.8.0,v1,10,Missing,0.02716,0.0077655315399169
Dask,Adult,2024.8.0,v1,10,Missing,0.006775,0.0016679763793945
Dask,Adult,2024.8.0,v1,10,Missing,0.035583,0.008965253829956
Dask,Adult,2024.8.0,v1,10,Missing,0.00177,0.0009288787841796
Dask,Adult,2024.8.0,v1,10,Row/Column,0.008483,0.0012514591217041
Dask,Adult,2024.8.0,v1,10,Aggregation,0.0,0.0008535385131835
Dask,Adult,2024.8.0,v1,10,Row/Column,0.098693,0.0178196430206298
Dask,Adult,2024.8.0,v1,10,Row/Column,0.0,0.0006027221679687
Dask,Adult,2024.8.0,v1,10,Row/Column,0.12738,0.0204670429229736
Dask,Adult,2024.8.0,v1,10,Aggregation,0.54602,0.0660889148712158
Dask,Adult,2024.8.0,v1,10,Aggregation,0.244506,0.0319266319274902
Dask,Adult,2024.8.0,v1,10,Aggregation,0.250732,0.0271217823028564
Dask,Adult,2024.8.0,v1,10,Aggregation,0.260741,0.0278966426849365
Dask,Adult,2024.8.0,v1,10,Aggregation,0.215881,0.0235905647277832
Dask,Adult,2024.8.0,v1,10,Row/Column,0.335388,0.0414631366729736
Dask,Adult,2024.8.0,v1,10,I/O,0.0,0.0003614425659179
Dask,Adult,2024.8.0,v1,10,I/O,2.475884,0.2585904598236084
Dask,Adult,2024.8.0,v1,10,I/O,3.140068,0.3432602882385254
Dask,Adult,2024.8.0,v1,10,I/O,3.013419,0.3168163299560547
Dask,Adult,2024.8.0,v1,10,Missing,0.007691,0.0010297298431396
Dask,Adult,2024.8.0,v1,10,Missing,0.008545,0.0014905929565429
Dask,Adult,2024.8.0,v1,10,Missing,0.007995,0.001253604888916
Dask,Adult,2024.8.0,v1,10,Missing,0.0,0.0007991790771484
Dask,Adult,2024.8.0,v1,10,Row/Column,0.008484,0.00140380859375
Dask,Adult,2024.8.0,v1,10,Aggregation,0.006592,0.0008153915405273
Dask,Adult,2024.8.0,v1,10,Row/Column,0.083008,0.0101897716522216
Dask,Adult,2024.8.0,v1,10,Row/Column,0.004944,0.0007605552673339
Dask,Adult,2024.8.0,v1,10,Row/Column,0.103088,0.0128591060638427
Dask,Adult,2024.8.0,v1,10,Aggregation,0.533446,0.0648946762084961
Dask,Adult,2024.8.0,v1,10,Aggregation,0.237671,0.0251805782318115
Dask,Adult,2024.8.0,v1,10,Aggregation,0.249938,0.0271856784820556
Dask,Adult,2024.8.0,v1,10,Aggregation,0.238342,0.0248360633850097
Dask,Adult,2024.8.0,v1,10,Aggregation,0.204101,0.0218937397003173
Dask,Adult,2024.8.0,v1,10,Row/Column,0.299864,0.033262014389038
Dask,Adult,2024.8.0,v1,10,I/O,0.0,0.0003821849822998
Dask,Adult,2024.8.0,v1,10,I/O,2.334772,0.2427883148193359
Dask,Adult,2024.8.0,v1,10,I/O,3.133659,0.3453366756439209
Dask,Adult,2024.8.0,v1,10,I/O,2.959526,0.318638801574707
Dask,Adult,2024.8.0,v1,10,Missing,0.008179,0.0010168552398681
Dask,Adult,2024.8.0,v1,10,Missing,0.00763,0.0015006065368652
Dask,Adult,2024.8.0,v1,10,Missing,0.007691,0.0012574195861816
Dask,Adult,2024.8.0,v1,10,Missing,0.008728,0.0009791851043701
Dask,Adult,2024.8.0,v1,10,Row/Column,0.012207,0.0014069080352783
Dask,Adult,2024.8.0,v1,10,Aggregation,0.001465,0.0008137226104736
Dask,Adult,2024.8.0,v1,10,Row/Column,0.083374,0.0101799964904785
Dask,Adult,2024.8.0,v1,10,Row/Column,0.005736,0.0007503032684326
Dask,Adult,2024.8.0,v1,10,Row/Column,0.1062,0.0128309726715087
Dask,Adult,2024.8.0,v1,10,Aggregation,0.517638,0.0645985603332519
Dask,Adult,2024.8.0,v1,10,Aggregation,0.223023,0.0250830650329589
Dask,Adult,2024.8.0,v1,10,Aggregation,0.244018,0.0270347595214843
Dask,Adult,2024.8.0,v1,10,Aggregation,0.225341,0.0249760150909423
Dask,Adult,2024.8.0,v1,10,Aggregation,0.197021,0.0213637351989746
Dask,Adult,2024.8.0,v1,10,Row/Column,0.294372,0.0332622528076171
Dask,Adult,2024.8.0,v1,10,I/O,0.011475,0.0005280971527099
Dask,Adult,2024.8.0,v1,10,I/O,2.290826,0.2404587268829345
Dask,Adult,2024.8.0,v1,10,I/O,3.067131,0.3369364738464355
Dask,Adult,2024.8.0,v1,10,I/O,2.987542,0.3145976066589355
Dask,Adult,2024.8.0,v1,10,Missing,0.001343,0.0009818077087402
Dask,Adult,2024.8.0,v1,10,Missing,0.014343,0.0016443729400634
Dask,Adult,2024.8.0,v1,10,Missing,0.004028,0.0012519359588623
Dask,Adult,2024.8.0,v1,10,Missing,0.004152,0.0008037090301513
Dask,Adult,2024.8.0,v1,10,Row/Column,0.007385,0.0014200210571289
Dask,Adult,2024.8.0,v1,10,Aggregation,0.0,0.000655174255371
Dask,Adult,2024.8.0,v1,10,Row/Column,0.084106,0.0101618766784667
Dask,Adult,2024.8.0,v1,10,Row/Column,0.0,0.0007612705230712
Dask,Adult,2024.8.0,v1,10,Row/Column,0.102111,0.0128078460693359
Dask,Adult,2024.8.0,v1,10,Aggregation,0.539305,0.0651788711547851
Dask,Adult,2024.8.0,v1,10,Aggregation,0.232361,0.0252668857574462
Dask,Adult,2024.8.0,v1,10,Aggregation,0.250427,0.0268530845642089
Dask,Adult,2024.8.0,v1,10,Aggregation,0.223998,0.0248708724975585
Dask,Adult,2024.8.0,v1,10,Aggregation,0.195495,0.0212988853454589
Dask,Adult,2024.8.0,v1,10,Row/Column,0.300353,0.0334041118621826
Dask,Adult,2024.8.0,v1,10,I/O,0.010986,0.0003557205200195
Dask,Adult,2024.8.0,v1,10,I/O,2.339106,0.2443099021911621
Dask,Adult,2024.8.0,v1,10,I/O,2.959648,0.3369643688201904
Dask,Adult,2024.8.0,v1,10,I/O,2.915703,0.3175685405731201
Dask,Adult,2024.8.0,v1,10,Missing,0.007446,0.0010280609130859
Dask,Adult,2024.8.0,v1,10,Missing,0.009033,0.0016393661499023
Dask,Adult,2024.8.0,v1,10,Missing,0.006836,0.0011568069458007
Dask,Adult,2024.8.0,v1,10,Missing,0.008118,0.0009710788726806
Dask,Adult,2024.8.0,v1,10,Row/Column,0.006958,0.0013492107391357
Dask,Adult,2024.8.0,v1,10,Aggregation,0.0,0.0008141994476318
Dask,Adult,2024.8.0,v1,10,Row/Column,0.083862,0.0101339817047119
Dask,Adult,2024.8.0,v1,10,Row/Column,0.0,0.000781774520874
Dask,Adult,2024.8.0,v1,10,Row/Column,0.100403,0.0127508640289306
Dask,Adult,2024.8.0,v1,10,Aggregation,0.533935,0.0648436546325683
Dask,Adult,2024.8.0,v1,10,Aggregation,0.229431,0.0251564979553222
Dask,Adult,2024.8.0,v1,10,Aggregation,0.247863,0.0268161296844482
Dask,Adult,2024.8.0,v1,10,Aggregation,0.224242,0.0245740413665771
Dask,Adult,2024.8.0,v1,10,Aggregation,0.191712,0.0212109088897705
Dask,Adult,2024.8.0,v1,10,Row/Column,0.302794,0.0333249568939209
Dask,Adult,2024.8.0,v1,10,I/O,0.0,0.0003824234008789
Dask,Adult,2024.8.0,v1,10,I/O,2.304865,0.2404639720916748
Dask,Adult,2024.8.0,v1,10,I/O,3.010735,0.3339450359344482
Dask,Adult,2024.8.0,v1,10,I/O,2.928886,0.315115213394165
Dask,Adult,2024.8.0,v1,10,Missing,0.001221,0.0010328292846679
Dask,Adult,2024.8.0,v1,10,Missing,0.009888,0.0015621185302734
Dask,Adult,2024.8.0,v1,10,Missing,0.013122,0.0012345314025878
Dask,Adult,2024.8.0,v1,10,Missing,0.0,0.0007233619689941
Dask,Adult,2024.8.0,v1,10,Row/Column,0.005982,0.0014209747314453
Dask,Adult,2024.8.0,v1,10,Aggregation,0.003845,0.0008032321929931
Dask,Adult,2024.8.0,v1,10,Row/Column,0.075257,0.0099632740020751
Dask,Adult,2024.8.0,v1,10,Row/Column,0.003723,0.0007035732269287
Dask,Adult,2024.8.0,v1,10,Row/Column,0.105652,0.0126330852508544
Dask,Adult,2024.8.0,v1,10,Aggregation,0.531737,0.0643653869628906
Dask,Adult,2024.8.0,v1,10,Aggregation,0.234496,0.0252506732940673
Dask,Adult,2024.8.0,v1,10,Aggregation,0.25476,0.0270280838012695
Dask,Adult,2024.8.0,v1,10,Aggregation,0.227721,0.0247938632965087
Dask,Adult,2024.8.0,v1,10,Aggregation,0.193358,0.0213174819946289
Dask,Adult,2024.8.0,v1,10,Row/Column,0.311523,0.0334265232086181
Dask,Adult,2024.8.0,v1,10,I/O,0.0,0.0003762245178222
Dask,Adult,2024.8.0,v1,10,I/O,2.341546,0.2424640655517578
Dask,Adult,2024.8.0,v1,10,I/O,3.061516,0.3425168991088867
Dask,Adult,2024.8.0,v1,10,I/O,3.126457,0.3344604969024658
Dask,Adult,2024.8.0,v1,10,Missing,0.00885,0.001009464263916
Dask,Adult,2024.8.0,v1,10,Missing,0.00763,0.0016477108001708
Dask,Adult,2024.8.0,v1,10,Missing,0.007019,0.0011713504791259
Dask,Adult,2024.8.0,v1,10,Missing,0.007568,0.0009739398956298
Dask,Adult,2024.8.0,v1,10,Row/Column,0.002502,0.0011096000671386
Dask,Adult,2024.8.0,v1,10,Aggregation,0.0,0.0005023479461669
Dask,Adult,2024.8.0,v1,10,Row/Column,0.083435,0.0099318027496337
Dask,Adult,2024.8.0,v1,10,Row/Column,0.00293,0.0005340576171875
Dask,Adult,2024.8.0,v1,10,Row/Column,0.107116,0.0124862194061279
Dask,Adult,2024.8.0,v1,10,Aggregation,0.52954,0.0654726028442382
Dask,Adult,2024.8.0,v1,10,Aggregation,0.229553,0.0251164436340332
Dask,Adult,2024.8.0,v1,10,Aggregation,0.244262,0.0269489288330078
Dask,Adult,2024.8.0,v1,10,Aggregation,0.223571,0.0244390964508056
Dask,Adult,2024.8.0,v1,10,Aggregation,0.202697,0.0216755867004394
