library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,category,,,,,,,,,,,,
Water Potability,I/O,0.2129815,0.2141105,0.212798,0.23055949999999997,0.1253355,0.125335,0.033539,0.0380855,0.037169999999999995,0.17153849999999998,0.14563,0.14505
Water Potability,Aggregation,0.1026305,0.1023555,0.098113,0.005493,0.001129,0.0016475,0.0024714999999999997,0.003784,0.002014,0.032256999999999994,0.0291745,0.0243225
Water Potability,Missing,0.0017085,0.0029905,0.0016175,0.007568,0.00177,0.0027470000000000003,0.01004,0.009949,0.009369,0.02359,0.0193175,0.018372
Water Potability,Row/Column,0.02951,0.031036,0.0296325,0.009735500000000001,0.0071715,0.0068055,0.0017695,0.00177,0.0019529999999999999,0.014587,0.014771,0.014953000000000001
Student Exam,I/O,2.7649470000000003,2.7864005,2.747521,1.415951,0.6434005,0.6655555,0.196473,0.19982850000000002,0.198517,1.564205,1.5111965,1.4625819999999998
Student Exam,Aggregation,0.17929,0.17999199999999999,0.175995,0.0068965,0.001099,0.002014,0.0042425,0.0052794999999999995,0.0048215,0.051056000000000004,0.050170000000000006,0.0339665
Student Exam,Missing,0.023773,0.024444,0.0250855,0.0797115,0.049164,0.052673,0.056457,0.057586,0.0573725,0.078613,0.0693355,0.07879649999999999
Student Exam,Row/Column,0.0706165,0.0708615,0.069244,0.041535,0.018615,0.019409000000000003,0.009491,0.009155,0.009979,0.016266,0.017181500000000002,0.016449
Adult,I/O,2.994591,3.2401340000000003,3.2532265000000002,1.3736234999999999,0.751158,0.7227765,0.21163900000000002,0.21163949999999998,0.20776299999999998,1.640132,1.4319415,1.4092060000000002
Adult,Aggregation,0.21466000000000002,0.24224800000000002,0.235473,0.007111,0.0015865,0.0012504999999999999,0.0050349999999999995,0.0050054999999999995,0.005829,0.055267,0.056152,0.043335
Adult,Missing,0.002686,0.004455000000000001,0.0025335,0.073211,0.046508999999999995,0.047607000000000003,0.032562499999999994,0.031036,0.0280755,0.0871275,0.069855,0.071075
Adult,Row/Column,0.07128899999999999,0.079163,0.07894899999999999,0.0414425,0.0178825,0.0182185,0.0132445,0.0139465,0.012695,0.017974999999999998,0.0166325,0.016845
Bank Marketing,I/O,4.1788835,4.2139475,4.17394,2.0937755,0.55844,0.5816635,0.2507925,0.25485199999999997,0.2486875,2.266077,2.154109,2.091914
Bank Marketing,Aggregation,0.23977549999999997,0.2361745,0.240234,0.0043945,0.0014345,0.001526,0.0025935,0.005188,0.0041505,0.050476499999999994,0.048858,0.0347905
Bank Marketing,Missing,0.0034485,0.003449,0.004029,0.1054075,0.0694275,0.070709,0.031921,0.029785,0.036529,0.07074,0.061615,0.0611265
Bank Marketing,Row/Column,0.07055700000000001,0.07009850000000001,0.0715025,0.058929999999999996,0.0282595,0.028381,0.0089415,0.0095835,0.0092165,0.015808,0.017334000000000002,0.017028500000000002
Drug Review,I/O,75.585714,77.382919,76.18401,13.3537255,8.071085,8.256662,1.452755,1.4428990000000002,1.4571489999999998,10.5974155,10.1279955,10.05576
Drug Review,Aggregation,2.894463,2.89486,2.8836595,0.0046995000000000006,0.001496,0.001526,0.0064995,0.0062565,0.005554,0.057769,0.056945499999999996,0.044494500000000006
Drug Review,Missing,0.0033875,0.002319,0.0034485,0.22558499999999998,0.2276605,0.236877,0.0412285,0.045624,0.059081999999999996,0.037049,0.0349735,0.0353695
Drug Review,Row/Column,0.0462945,0.0466925,0.0452875,0.1494135,0.071563,0.0751945,0.0070799999999999995,0.0067445000000000005,0.0069885,0.0150145,0.014037500000000001,0.015259
US Census 1990,I/O,709.937895,666.5289945,675.9880455,317.9690955,163.3156515,166.752503,57.277319000000006,56.004982999999996,55.169231499999995,240.8763055,224.969517,213.36377249999998
US Census 1990,Aggregation,18.04805,15.8655905,15.9634295,0.024353,0.0118105,0.015045,0.28054749999999995,0.255248,0.2548825,0.12383949999999999,0.100769,0.1062315
US Census 1990,Missing,0.0383915,0.0036325000000000003,0.0047305,0.5705555,0.522948,0.5319505,0.2630305,0.23852600000000002,0.2380675,0.263274,0.21200549999999999,0.2430415
US Census 1990,Row/Column,1.781215,0.100036,0.104308,2.4683465,2.4199460000000004,2.4515325,0.044677999999999995,0.040038500000000005,0.039764499999999994,0.274841,0.23175,0.24169849999999998
