library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2025.1.0,2024.8.0,2022.1.0,2.2.0,1.0.0,2.0.0,0.20.0,1.31.0,1.0.0,4.17.0,4.13.0,4.15.0
dataset,category,,,,,,,,,,,,
Water Potability,I/O,0.019272089004516553,0.01913237571716305,0.01874232292175285,0.014466524124145449,0.0173817873001098,0.01687598228454585,0.008212327957153251,0.008565068244934,0.00651133060455315,0.016185641288757248,0.02165997028350825,0.01654756069183345
Water Potability,Aggregation,0.01296150684356685,0.01246547698974605,0.0128965377807617,0.00039148330688470003,0.0006891489028930499,0.0006928443908691001,0.0009051561355590499,0.0009509325027465499,0.0008498430252074499,0.00378251075744625,0.0043725967407226,0.00428116321563715
Water Potability,Missing,0.0009412765502929,0.0008796453475952,0.00087749958038325,0.0007137060165404499,0.0008605718612670499,0.0008522272109985,0.0008206367492675001,0.00187051296234125,0.0010087490081787,0.0027086734771728,0.00314354896545405,0.002718448638916
Water Potability,Row/Column,0.005249977111816351,0.0051655769348144,0.00420272350311275,0.0008795261383056,0.0011520385742187001,0.0011289119720458499,0.0006564855575561,0.0007647275924681999,0.0006824731826782,0.00210678577423095,0.0021831989288329497,0.00211274623870845
Student Exam,I/O,0.3027665615081787,0.3048896789550781,0.2732280492782593,0.07477879524230954,0.0776907205581665,0.07801985740661616,0.0135107040405273,0.02055501937866205,0.0267250537872314,0.14679348468780515,0.1653292179107666,0.14665567874908442
Student Exam,Aggregation,0.03924775123596185,0.0211744308471679,0.01872110366821285,0.0005348920822143,0.0006959438323974,0.00068056583404535,0.0009498596191406001,0.0009932518005371,0.0008962154388427,0.00381803512573235,0.00609290599822995,0.00517225265502925
Student Exam,Missing,0.0060181617736816,0.0055263042449951,0.0050927400588988495,0.00712442398071285,0.0063930749893188,0.00636994838714595,0.00196063518524165,0.0034132003784179497,0.00174999237060545,0.00497388839721675,0.00546920299530025,0.00499451160430905
Student Exam,Row/Column,0.01037406921386715,0.0106219053268432,0.01409864425659175,0.002389907836914,0.0024877786636352,0.00243937969207755,0.0026110410690307,0.00157213211059565,0.0010889768600463499,0.00226795673370355,0.0024622678756713,0.0022875070571898998
Adult,I/O,0.2976198196411133,0.3017476797103882,0.27314984798431396,0.0819728374481201,0.1621015071868896,0.08794271945953365,0.01419162750244135,0.02352368831634515,0.02836859226226805,0.13609731197357175,0.16252315044403076,0.13820326328277585
Adult,Aggregation,0.04449701309204095,0.0250828266143798,0.02284216880798335,0.0006854534149169,0.0011218786239623499,0.0006966590881347,0.00092494487762445,0.00099670886993405,0.0009139776229857999,0.004952669143676701,0.0062777996063232006,0.0063052177429199
Adult,Missing,0.00097703933715815,0.0011640787124633,0.0029259920120238998,0.0064831972122192,0.00917994976043695,0.0058149099349975,0.0008424520492553,0.002729058265686,0.00155425071716305,0.00496971607208245,0.0051714181900024,0.00773143768310545
Adult,Row/Column,0.0099446773529052,0.0101257562637329,0.014478325843811,0.00229752063751215,0.0057041645050047995,0.0022950172424316,0.0029298067092894996,0.0014328956604003499,0.00123953819274895,0.0023227930068969,0.0024626255035399497,0.00228536128997795
Bank Marketing,I/O,0.1514450311660766,0.1509696245193481,0.14229440689086909,0.0623078346252441,0.0669326782226562,0.06672215461730956,0.0152318477630615,0.0243940353393554,0.0279675722122192,0.10348808765411376,0.12456154823303214,0.10106170177459714
