library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,category,,,,,,,,,,,,
Water Potability,I/O,0.02570068836212155,0.02555406093597405,0.02610409259796135,0.0298172235488891,0.0188703536987304,0.01901543140411375,0.0085741281509399,0.00854730606079095,0.00838208198547355,0.02037286758422845,0.0162074565887451,0.0161923170089721
Water Potability,Aggregation,0.01252675056457515,0.01256430149078365,0.0126680135726928,0.0011080503463744501,0.0006835460662841,0.00068414211273185,0.0008714199066162,0.0009173154830932,0.0009032487869262,0.004297137260437,0.0041913986206054,0.0034794807434082
Water Potability,Missing,0.0008364915847777999,0.00082468986511225,0.0009301900863647,0.00133979320526115,0.0008461475372314,0.0008504390716551999,0.00174212455749505,0.00189936161041255,0.0018994808197020999,0.00354611873626705,0.0027132034301756997,0.0027186870574950504
Water Potability,Row/Column,0.00398361682891845,0.0037596225738525,0.00399219989776605,0.0019559860229491502,0.0011233091354369501,0.0011242628097533499,0.00070261955261225,0.0007958412170409499,0.00080704689025875,0.0022060871124267,0.0020501613616943004,0.0020341873168945
Student Exam,I/O,0.32575523853302,0.3313446044921875,0.32657551765441895,0.16615414619445795,0.07910621166229245,0.07796418666839595,0.0244027376174926,0.0244498252868652,0.02474629878997795,0.19383585453033444,0.18089985847473145,0.17945110797882075
Student Exam,Aggregation,0.020201683044433552,0.02004611492156975,0.020153880119323703,0.0011169910430908,0.0006909370422362999,0.0006744861602782999,0.0009468793869018,0.00091481208801265,0.00092446804046625,0.006321549415588349,0.0052354335784912005,0.0037299394607543
Student Exam,Missing,0.0034868717193603,0.0035299062728881498,0.0036042928695678,0.00989568233489985,0.006419897079467701,0.0064189434051512995,0.00336933135986325,0.0034747123718261,0.00337469577789305,0.0086605548858642,0.0085408687591552,0.00960898399353025
Student Exam,Row/Column,0.0094702243804931,0.0094704627990722,0.0095824003219604,0.005730152130126899,0.0024539232254028,0.0024389028549193503,0.0014463663101195998,0.0014591217041015,0.0014680624008178498,0.00242757797241205,0.0023639202117919497,0.0022957324981689
Adult,I/O,0.34060192108154297,0.33758544921875,0.34165167808532715,0.17799258232116694,0.0837451219558715,0.08588933944702146,0.0227744579315185,0.022792935371398898,0.0228017568588256,0.17887961864471436,0.179265022277832,0.16739356517791745
Adult,Aggregation,0.024239778518676702,0.024332642555236803,0.0244238376617431,0.0010895729064940999,0.0007023811340332,0.00069630146026605,0.0010027885437011,0.00099110603332515,0.00102746486663815,0.00632655620574945,0.0064972639083862,0.0049601793289184
Adult,Missing,0.0009318590164184501,0.0009332895278930499,0.00093257427215575,0.009228944778442352,0.0058271884918212,0.005818009376525801,0.002720832824707,0.00269424915313715,0.0027732849121093,0.011543273925781201,0.00847065448760985,0.00798130035400385
Adult,Row/Column,0.00910723209381095,0.00917124748229975,0.0091865062713623,0.0056250095367431,0.0023021697998046,0.0022954940795898,0.0014455318450927001,0.00143480300903315,0.001427412033081,0.00240886211395255,0.0022997856140136,0.00229752063751215
Bank Marketing,I/O,0.5058246850967407,0.5160185098648071,0.5015299320220947,0.24500381946563715,0.0665453672409057,0.06715691089630124,0.029943823814392048,0.029724240303039502,0.029764175415039,0.2689387798309326,0.26370763778686523,0.26192986965179443
Bank Marketing,Aggregation,0.02699649333953855,0.02696323394775385,0.027251124382019,0.0010819435119628499,0.00071156024932855,0.00069081783294675,0.0008323192596435,0.0008288621902465499,0.0008349418640136,0.00608777999877925,0.0053982734680175,0.00382339954376215
Bank Marketing,Missing,0.00093758106231685,0.000955581665039,0.0009509325027465499,0.01314723491668695,0.008545875549316349,0.00851988792419425,0.0029404163360595,0.0029156208038329497,0.002927541732788,0.0094399452209472,0.0085241794586181,0.0084830522537231
