library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2025.1.0,2024.8.0,2022.1.0,2.2.0,1.0.0,2.0.0,0.20.0,1.31.0,1.0.0,4.17.0,4.13.0,4.15.0
dataset,category,,,,,,,,,,,,
Water Potability,I/O,0.180786,0.18505749999999999,0.18261699999999997,0.105987,0.1318355,0.1259155,0.032043,0.0379635,0.026550499999999998,0.16989100000000001,0.213531,0.16897600000000002
Water Potability,Aggregation,0.107879,0.1074215,0.1120905,0.0,0.0008550000000000001,0.0014345,0.0024105000000000003,0.0034479999999999997,0.0016784999999999999,0.027771,0.034668000000000004,0.034241
Water Potability,Missing,0.005615,0.003906,0.0033265,0.001526,0.0018005,0.002625,0.0037535,0.0108335,0.0045465,0.021088,0.022125,0.018982
Water Potability,Row/Column,0.042114,0.0410465,0.034270999999999996,0.0035095,0.007599,0.007171,0.001984,0.0016480000000000002,0.001251,0.016358,0.016205,0.015808
Student Exam,I/O,2.777794,2.7950975,2.5365849999999996,0.6661969999999999,0.640838,0.6507855,0.194214,0.2091675,0.234588,1.3162805,1.490353,1.333584
Student Exam,Aggregation,0.359557,0.193237,0.171661,0.000703,0.00116,0.0010990000000000002,0.0043335,0.0049735000000000005,0.002075,0.0372615,0.0516655,0.0495605
Student Exam,Missing,0.0366215,0.0332945,0.0396425,0.053162,0.0519705,0.050506999999999996,0.024475,0.05896,0.010558999999999999,0.0365905,0.0403755,0.035248
Student Exam,Row/Column,0.08572350000000001,0.083588,0.120453,0.0176695,0.018738,0.018249500000000002,0.0193175,0.009094000000000001,0.007324000000000001,0.018066,0.022796,0.0180665
Adult,I/O,2.924919,2.818108,2.5098805,0.781065,1.4458280000000001,0.725065,0.2120955,0.2000725,0.2701405,1.2563445,1.422726,1.2632105
Adult,Aggregation,0.4111625,0.230194,0.2097165,0.0021665,0.007324,0.0,0.003967,0.0043025,0.0032655,0.041717500000000005,0.0558475,0.055663500000000005
Adult,Missing,0.006317,0.0076605,0.021545500000000002,0.0504445,0.0730895,0.045868000000000006,0.001038,0.032684000000000005,0.008910999999999999,0.0343325,0.03833,0.0603935
Adult,Row/Column,0.084046,0.0832215,0.1189575,0.0159305,0.043182,0.0178535,0.032989500000000005,0.0147095,0.0113225,0.0197755,0.0180055,0.016753999999999998
Bank Marketing,I/O,1.349972,1.30798,1.2297025000000001,0.5350630000000001,0.5798625,0.5718065,0.272949,0.25949049999999996,0.2912895,0.8578165,1.0739105,0.8750595
Bank Marketing,Aggregation,0.5469345,0.2642505,0.4537645,0.001098,0.0013735000000000002,0.000855,0.0026249999999999997,0.0043025,0.0037235000000000002,0.035889000000000004,0.0529175,0.049285999999999996
Bank Marketing,Missing,0.00824,0.006775,0.0275575,0.07974149999999999,0.0707705,0.0712885,0.005919499999999999,0.030213,0.011657500000000001,0.037384,0.044219499999999995,0.0381165
Bank Marketing,Row/Column,0.093872,0.11087050000000001,0.11956800000000001,0.0286255,0.0291745,0.030365000000000003,0.048706,0.013611000000000002,0.007935,0.0193785,0.02121,0.018737499999999997
Drug Review,I/O,69.5273185,69.0849675,68.5654975,7.932230499999999,8.193888000000001,8.390024,2.010065,1.3988615,2.1549625,9.9903925,11.8674935,9.7650805
Drug Review,Aggregation,6.2684774999999995,3.0667645,3.0596235,0.0,0.001556,0.00177,0.0031135,0.005065999999999999,0.0033875,0.0467525,0.06134,0.0598755
Drug Review,Missing,0.004639,0.0047005,0.017639000000000002,0.286956,0.233124,0.23922749999999998,0.2286985,0.054962,0.0383295,0.015687,0.018951000000000003,0.0168455
Drug Review,Row/Column,0.058899,0.058899,0.2462765,0.0770865,0.080291,0.0801695,0.036712499999999995,0.0069575,0.004089,0.014893,0.016265,0.014893
US Census 1990,I/O,247.0691,248.2353875,216.6216075,170.207786,334.0108025,147.42177249999997,46.5705595,49.808588,58.915101500000006,224.3418635,222.25071250000002,218.25982218241558
US Census 1990,Aggregation,52.774035,16.243184,15.1104655,0.013214,0.026184,0.017151,0.814664,0.8000165,0.6917705,0.098999,0.117981,0.08605595955891877
US Census 1990,Missing,0.0047605,0.002716,0.0581665,1.1733365,0.6007675,1.2524385,0.1726375,0.150939,0.2489615,0.227172,0.253814,0.2085447340217908
US Census 1990,Row/Column,0.089141,0.088256,1.2849694999999999,2.379358,2.18664,2.4396915,0.253479,0.03128,0.041930999999999996,0.21704050000000003,0.2472525,0.20686678394973407
