library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,function,,,,,,,,,,,,
Adult,concat_dataframes,6.68567979338496e-06,7.041182262823296e-06,5.532449025047621e-06,5.826953138134682e-08,1.3768015015169402e-08,1.589839991967216e-08,1.5071278848880883e-06,1.4670025875106148e-06,1.498360942430247e-06,2.5184902992465317e-06,2.7256682835871626e-06,1.5843406483599076e-06
Adult,count,2.17520641592857e-06,1.9725204494414106e-06,2.6126693155909933e-06,3.903303396568259e-08,1.469579310860213e-08,1.5972458661954646e-08,7.966450238693135e-09,1.532842043945797e-08,5.530873083663158e-09,7.72428088775885e-07,2.553747237115421e-07,1.3211578904189493e-07
Adult,drop,1.9565631801250054e-06,1.8713609878217747e-06,1.8160900696193826e-06,1.8050105146702984e-06,1.099081067689443e-08,1.5312453319109334e-08,1.4124103971744745e-06,1.400393129993106e-06,1.3017283635335018e-06,1.075362517398367e-08,1.7971616679115978e-08,1.1519626505314715e-08
Adult,dropna,2.2173011707674544e-08,2.4300661136986038e-08,1.734433341368084e-08,3.0134026267650154e-06,1.925096994612146e-08,2.7492020548716452e-08,3.527137244159803e-06,3.2977967442815013e-06,3.1721417599328413e-06,2.5793643814445607e-06,1.7421194601850296e-06,1.9443348450316255e-06
Adult,fillna,2.223249109307507e-08,2.5591167801479245e-08,1.8536127691764746e-08,2.127951450807577e-08,1.8874921524599824e-08,2.8688593136856648e-08,2.4563597493340057e-06,2.6337576437281475e-06,2.368475299039027e-06,1.958009092384505e-08,2.4196605720746664e-06,1.1647950137902847e-07
Adult,groupby,2.4325357642358777e-08,1.809896214100528e-08,1.8077551577261693e-08,2.5509298381422406e-08,2.04401091138408e-08,1.639398103451702e-08,2.994070454426924e-06,3.2981858744644665e-06,3.089762045464219e-06,0.0004052985513576512,2.695964437522399e-06,0.00018290299199081575
Adult,isna,2.2327678142124634e-08,2.4379256114762603e-08,1.952377183652272e-08,3.03647335260429e-08,1.5905542850617528e-08,2.1927782403632414e-08,1.0241206341260788e-05,9.952562563426125e-06,1.3949381874271032e-05,1.99086436714946e-05,2.227411184698012e-06,4.641535292387426e-06
Adult,load_csv,2.0203000868649627e-05,1.9937484324827933e-05,2.058422201933336e-05,2.093516001940725e-06,3.841002532273458e-06,3.3148331233772007e-06,0.00021004698198042991,0.0002116074637765923,0.0001968387774277497,1.4911040806374018e-05,1.0520812957006578e-05,9.21169074685508e-06
Adult,load_json,8.42778282958536e-05,8.722702878663398e-05,0.00010067733441823,4.3257609267150785e-05,4.640315414330773e-05,3.0128717576085537e-05,6.436468101227719e-05,5.445684682024545e-05,7.765017050101508e-05,5.945992981478621e-05,0.00010109172574626144,0.0001961310988011601
Adult,max,2.466034056433499e-06,1.6049583881267016e-06,1.2333985108037701e-06,2.6792395473595655e-08,2.230216158875978e-08,1.926266714565081e-08,1.3406835640272228e-06,1.2808663091843472e-06,1.3703277393991354e-06,2.3300067342701447e-07,4.996526675459784e-07,2.7216614733166754e-07
Adult,mean,4.854232001392981e-07,4.986128111528992e-07,5.874585986543654e-07,3.1339044948898004e-08,1.5656988578343817e-06,1.425357662152132e-06,1.4324071294506674e-06,1.4351656566749309e-06,1.385690800806081e-06,1.8344577473276788e-06,0.00013039904520913587,5.072108186875527e-06
Adult,merge,6.427056344471437e-06,6.117741386542406e-06,6.53729015226969e-06,5.405683202948727e-06,7.036272012263134e-06,8.622937526987306e-06,0.0026457724111099775,0.001994894756518437,0.0016667256095950328,1.561072220064157e-06,1.572285628327881e-06,1.45515837854987e-06
Adult,min,1.3133330106750879e-06,3.6972489695095615e-06,3.763249748481992e-06,3.00775961827691e-08,2.115481572803915e-08,2.1141488167782547e-08,,,,2.1483267798545488e-06,1.640824163963568e-06,1.7434227570107704e-06
Adult,replace,2.8927144188562264e-08,2.215062977484194e-08,2.082957101411636e-08,3.060879878140842e-08,2.008693043315901e-08,2.5351837864253192e-08,,,,1.8293932911567196e-08,1.8829433787392744e-08,1.2240685338901347e-08
Adult,save_csv,7.112584693427836e-05,8.574064819034355e-05,6.751172743909725e-05,6.063558220148491e-06,2.279538754681664e-06,2.0092401925190007e-06,7.01052566676314e-06,1.3044664828335414e-05,1.0915696060203741e-05,2.4155316952402795e-05,4.211851718087661e-06,4.2611976379896705e-06
Adult,save_json,2.7773007341878956e-05,0.0001364605384908226,6.906814684342918e-05,3.637133051242202e-06,2.208340745921971e-06,2.731778568499716e-06,5.079878691054323e-06,2.3324835572712764e-06,2.2299002979650028e-06,1.1913855506455849e-05,1.2372327846762687e-05,6.1732111038870025e-06
Adult,sort,2.6328001402507654e-08,1.8605370359048458e-08,1.5816817460873932e-08,1.4979777928937567e-08,2.006701164980678e-08,1.9837006189404918e-08,1.5655896147145948e-06,1.793020602698209e-06,1.583255168589462e-06,2.1012191793368266e-06,2.4202068096269485e-06,1.0702606065695855e-05
Adult,sum,2.756891244539509e-06,2.988700639395441e-06,2.442731649624735e-06,3.112391809004585e-08,1.9428824509891115e-08,1.6222262946491445e-08,1.374191581022799e-06,1.4261169161695992e-06,1.3682994180292496e-06,8.48696558788958e-07,8.075103572725285e-07,1.2952648232997106e-06
Adult,unique,5.297944196875526e-06,4.541679679040064e-06,5.973326856344506e-06,3.060690171397194e-08,2.2131689090314054e-08,2.0977850469753722e-08,1.7827356264885728e-06,1.92658082143166e-06,1.7748285077770641e-06,2.1368889948702543e-06,1.929190298939345e-06,2.4277055675695183e-06
Bank Marketing,concat_dataframes,4.071197025462116e-06,4.002213381420565e-06,1.1145208974077323e-05,1.3195967408032846e-07,4.144448768847461e-09,1.634199713993335e-08,2.0185162042509337e-06,1.6760583034398847e-06,1.6604988698433865e-06,1.672586631684694e-06,2.828354074373603e-06,1.6078367140322873e-06
Bank Marketing,count,2.2782885172671534e-06,6.57657965792634e-06,2.38275062170501e-06,2.7635422773671326e-08,1.3116182514552661e-08,8.695184632593891e-09,9.690989074818313e-09,1.291058280870752e-08,2.0521064138897303e-08,3.6342866244911484e-08,0.0007868052366376663,9.101545382189472e-06
Bank Marketing,drop,1.6575676086020033e-06,1.5333177763185847e-06,9.059360177645029e-06,1.7276580188368818e-06,5.171859512019819e-06,8.391770134836767e-06,1.426173058388982e-06,1.5333746341769847e-06,1.3963169660472924e-06,8.836354479288242e-09,1.3914137361068714e-08,1.0727802580878355e-08
Bank Marketing,dropna,2.661674800257487e-08,8.220823558035536e-09,2.0519966930238992e-08,2.2137909785795336e-06,1.4820892014038336e-08,3.080371793553417e-08,3.4021591188357237e-06,3.540815644022384e-06,3.5157605355997027e-06,2.283771838609516e-06,1.821123387553492e-06,1.9068203732001882e-06
Bank Marketing,fillna,2.6153992916727484e-08,7.178866702628376e-09,2.0275185382465314e-08,3.01045744613852e-08,1.9384535515452886e-08,2.9350559708317367e-08,2.277487257661861e-06,2.400599308349135e-06,2.177331272908599e-06,8.673921386318779e-05,3.5924901586681143e-05,0.000503276812149702
Bank Marketing,groupby,1.890283334202838e-08,1.5831729515098138e-08,1.0215959935982091e-08,3.564098801428134e-08,6.902481978070688e-09,2.520712530048258e-08,6.245764205130356e-06,3.8902161543450325e-06,3.4860632518135232e-06,5.226815840976997e-05,1.9572759287709304e-05,0.00019001844950818978
Bank Marketing,isna,2.7601431193245027e-08,1.340130224314426e-08,2.1494076526289868e-08,3.1722321958522876e-08,1.1197743785601778e-08,2.721013599470137e-08,1.0078745072473537e-05,8.243731289617561e-06,6.154247919756452e-06,0.00024474283716983107,1.389935189935978e-05,1.8730543390195875e-05
Bank Marketing,load_csv,3.3260626475995176e-06,3.3453374342194565e-06,2.976643770188226e-06,6.622575173209388e-07,1.5752441507582483e-06,1.7407402408062072e-06,0.00024747081789694756,0.0002467855018042967,0.00027641910978960435,4.15380959991083e-06,3.858305421019751e-06,4.308880569174773e-06
Bank Marketing,load_json,0.00014713998988967464,0.00012901673134314398,0.00013598347707572702,5.229437723600349e-05,8.4668177524774e-05,8.834482791826336e-05,0.00011739028108502352,9.225846509065873e-05,8.835818738590597e-05,0.0005882834117307054,0.00028906519186076005,0.00034739886896126114
Bank Marketing,max,4.226592970315833e-06,3.7487309080215478e-06,3.9757596444663304e-06,3.585565444144562e-08,1.6666108905709364e-08,2.882372856460379e-08,,,,5.581053618170329e-07,3.101649196687716e-07,8.341493390818205e-06
Bank Marketing,mean,1.4529832093879472e-05,1.4758159129633503e-05,1.3496071319005093e-05,3.415554305184422e-08,1.4388054563008593e-06,1.6599288667110897e-06,2.1783538423032923e-06,1.6108001169601935e-06,1.5431703735200406e-06,1.9152220500410362e-06,2.6602004904241696e-05,3.353879187592425e-05
Bank Marketing,merge,1.0176493733799119e-05,1.0707339728647143e-05,1.2877489060538785e-05,5.583717522532761e-06,4.448465217566301e-06,4.074031059825082e-06,0.008154299529066806,0.007316629556590285,0.007096796866178286,1.730675024455383e-06,2.7266966912518022e-05,1.4560824441408273e-05
Bank Marketing,min,5.486724916900377e-06,9.43265349117131e-06,1.0875961748587506e-05,3.5251053202893054e-08,1.4401611036285838e-08,3.039236334784873e-08,,,,8.268422538487794e-05,1.1211422286411134e-05,2.0987315737925475e-06
