library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,function,,,,,,,,,,,,
Adult,concat_dataframes,5.055263219113048e-09,1.3321185905862075e-08,8.456442814743449e-09,5.826953138134673e-08,8.353012709861309e-10,3.3209552338369076e-09,2.5516810094551484e-08,1.8267606689505262e-08,2.6233648168944813e-08,1.7167667094686701e-09,1.380250777089695e-09,3.1058929888246857e-09
Adult,count,1.7271779543046062e-06,1.9725204494414106e-06,2.612669315591018e-06,3.9033033965682514e-08,4.0983672114141546e-09,1.0202482987779471e-08,2.1712479827752447e-09,7.445977103810349e-10,8.738326630821348e-10,5.0527388479025273e-08,3.440809654588946e-08,2.8013411498783397e-08
Adult,drop,1.5751966442195393e-08,1.684610084905805e-09,1.7247733465429199e-09,1.7659774108581974e-09,1.0990810676894417e-08,1.5312453319109337e-08,1.6848518300693112e-08,9.251855127938861e-09,1.453974199159083e-10,2.703331783181645e-09,1.50151598840052e-09,1.9721116691818132e-09
Adult,dropna,2.2173011707674567e-08,2.4300661136986044e-08,1.7344333413680836e-08,4.791688205066791e-08,1.925096994612136e-08,2.7492020548716412e-08,3.119433497062118e-08,7.237417776195555e-09,1.2856894740962302e-08,1.3779691782804805e-08,8.49852076848766e-09,1.1866316822420567e-08
Adult,fillna,2.223249109307507e-08,2.5591167801479248e-08,1.853612769176475e-08,2.1279514508075802e-08,1.8874921524599767e-08,2.8688593136856588e-08,3.306093390165087e-09,2.0322193303098985e-08,3.7873697897410015e-09,1.9580090923845465e-08,1.0188146793902505e-08,1.9705961620953645e-08
Adult,groupby,2.4325357642358774e-08,1.809896214100528e-08,1.7351857277919728e-09,1.3049320207335856e-09,2.0440109113840806e-08,1.4118554184056822e-09,1.9296150551519647e-08,1.399172487558541e-08,9.514141330271542e-09,3.7748899551894684e-07,9.824437851281337e-08,4.454437063171532e-08
Adult,isna,2.2327678142124634e-08,2.4379256114762596e-08,1.952377183652271e-08,3.0364733526042895e-08,6.538508993493657e-10,2.1927782403632408e-08,1.4055910836619641e-08,2.3800882149658216e-08,1.1256670055810263e-08,4.304302774163551e-06,3.981248121105504e-08,3.921026761596173e-08
Adult,load_csv,4.7268292325530785e-09,8.150888857128105e-09,4.812458579786153e-10,7.725444985907158e-07,1.1452437359801564e-07,1.8077221980587104e-07,2.086870945344312e-08,1.2765970472299106e-08,1.3295547703846345e-08,9.184569382527547e-06,2.599867300370771e-06,3.5114526078836937e-06
Adult,load_json,6.810965078038442e-06,9.693706647048648e-06,1.5471365801992e-05,1.1446814981233824e-05,2.122843041458909e-05,2.2884717776997733e-05,1.1392227835184835e-05,1.0163024036172933e-05,1.307202957805602e-05,5.945992981478722e-05,7.247265925882501e-06,5.509263839182205e-06
Adult,max,3.281232929164902e-08,1.1274090018597917e-06,3.911529099976061e-08,2.679239547359566e-08,2.230216158875977e-08,1.9262667145650814e-08,2.913476406111637e-09,4.6596230381864594e-09,7.302592545485336e-10,5.048000687189412e-08,5.2994025736557076e-08,1.4331902513310723e-08
Adult,mean,3.569251324127463e-08,7.4016247773425e-08,2.707248683414027e-08,3.1339044948897984e-08,2.0166269145006667e-08,1.0775888118325888e-10,1.9301798677890894e-09,1.0718567864386559e-08,2.631271364898158e-09,7.673368822272235e-08,4.0314361058337454e-08,4.0972511127480244e-08
Adult,merge,1.1165236288729171e-08,2.3832157864140076e-08,7.4071698659760325e-09,2.6948326221422673e-07,2.81897740285941e-07,2.748001378589714e-07,0.0007634555804909197,0.0006821924031595983,0.0007345885284796833,2.5391559261308667e-08,2.0635762512054532e-08,4.062992691918349e-09
Adult,min,2.7582727651020936e-08,1.0196409394559745e-07,2.4777719122836604e-08,3.007759618276909e-08,2.115481572803915e-08,2.1141488167782547e-08,,,,4.322852949674376e-08,3.040875220414489e-08,1.664359388087213e-08
Adult,replace,2.8927144188562277e-08,2.2150629774841942e-08,2.0829571014116357e-08,3.060879878140842e-08,3.4255327077312716e-10,2.535183786425322e-08,,,,1.8293932911567193e-08,8.457838370863663e-09,6.026018202951542e-10
Adult,save_csv,7.112584693427845e-05,8.57406481903429e-05,6.751172743909721e-05,6.063558220148523e-06,2.5329907698388807e-07,3.2782275665199665e-07,3.203400059990676e-06,9.873971919205513e-08,3.2486991101327392e-06,2.41553169524028e-05,4.211851718087663e-06,2.8963799484737875e-06
Adult,save_json,2.3773894100697015e-05,0.00013646053849082155,6.9068146843429e-05,1.7976139724370044e-06,1.1252333277743366e-07,1.7048611296339592e-06,4.4069252609277804e-08,3.806144400006279e-08,3.373858087489522e-08,1.191385550645587e-05,3.025350888303045e-06,2.018269048224142e-06
Adult,sort,2.632800140250766e-08,1.860537035904846e-08,1.581681746087393e-08,1.497977792893756e-08,2.0067011649806802e-08,1.9837006189404967e-08,9.897841060572293e-09,1.3166658471771229e-08,1.3307507223154561e-08,2.4439424621610502e-09,1.7824574077470046e-08,9.507048341552072e-10
Adult,sum,3.718592897696012e-08,8.2548115450174e-08,3.5119577712950894e-08,3.112391809004586e-08,8.545569891375227e-09,7.120538233113789e-10,8.372564992350339e-10,1.0154159089101702e-08,1.8849749517110697e-10,5.551006462590081e-08,4.889655032897623e-08,3.756045456471835e-08
Adult,unique,2.909323855782838e-08,6.101905843859515e-08,3.6159508454148576e-08,3.060690171397195e-08,2.213168909031406e-08,2.0977850469753732e-08,2.1923980222953156e-08,3.396990753876221e-09,7.365570984000037e-09,2.212949998398641e-08,3.680049237427859e-08,1.5917275388274038e-08
Bank Marketing,concat_dataframes,5.5787526994564774e-09,1.3705656729950485e-08,1.730362771076349e-08,1.3195967408032864e-07,9.461820273149083e-10,1.6341997139933334e-08,2.7073268552606195e-09,2.7206031442504327e-09,8.38283190555289e-09,6.4542687692711e-10,2.3644592298896078e-09,1.7515780516830676e-09
Bank Marketing,count,2.278288517267154e-06,3.9767827826966255e-06,2.3827506217050065e-06,2.479416587094047e-08,3.670170109706531e-09,8.695184632593911e-09,1.7924266844429207e-09,1.7257117143835936e-09,2.052106413889731e-08,3.634286624491151e-08,2.0364554226641632e-08,1.760643779929993e-08
Bank Marketing,drop,2.1958005349400312e-08,1.6468196468329399e-09,1.1912340670535657e-08,1.2463275472637526e-07,6.417225527135371e-10,2.0449243664572033e-08,1.816504357561099e-09,2.2755224498331366e-08,2.0983401551625752e-08,3.7625110082210875e-09,2.79707743781388e-09,2.479051422947681e-09
Bank Marketing,dropna,2.6616748002574876e-08,9.699660571044056e-10,2.051996693023899e-08,1.3923310110763656e-07,5.022623974162514e-09,3.080371793553395e-08,4.3635510548052066e-08,1.511693748549478e-08,6.145673187742559e-09,1.1293353535110395e-08,5.670480738695112e-09,6.1587176193049075e-09
Bank Marketing,fillna,2.61539929167275e-08,3.274064324497497e-10,5.590232869204842e-09,3.01045744613852e-08,5.265709774818019e-09,2.935055970831692e-08,5.189853468074799e-09,2.6946695824791653e-09,2.3226128668247505e-09,1.3075662956486714e-08,1.9181515120220627e-08,2.088331249166881e-08
Bank Marketing,groupby,1.3976826675457789e-08,2.4249842075119507e-09,1.5241068661809468e-10,3.5640988014281344e-08,1.338652020002693e-09,2.520712530048258e-08,1.7271929589086134e-08,1.3447631685125493e-08,2.85340534473647e-08,1.95044552340515e-07,1.3387951076250202e-07,6.066468534982139e-07
Bank Marketing,isna,2.760143119324504e-08,1.1937919452979223e-09,2.1494076526289868e-08,3.172232195852283e-08,2.0918602818361384e-10,2.7210135994701336e-08,2.7338292513965355e-08,2.3158486552624006e-08,3.139788103294802e-08,0.00024474283716983107,3.360670968562234e-09,1.49297128310882e-09
Bank Marketing,load_csv,2.1869421041476792e-08,1.0702482401169467e-08,8.967685355027499e-09,3.646500012201607e-07,1.317038112948825e-07,6.75212026819629e-08,1.2051251705371654e-08,2.4209314154900395e-08,1.955300594014464e-08,1.948017454668364e-06,1.0014036339772827e-06,1.506115882554306e-06
Bank Marketing,load_json,3.075372108469315e-05,4.281553376563692e-05,3.0156041215863097e-05,4.293970379004955e-06,5.524806299367385e-05,3.658923372386529e-05,5.153451971659938e-05,1.8658735779647076e-05,2.6970262153045878e-05,0.00010361210853169739,0.00023345305885217793,0.0003473988689612614
Bank Marketing,max,1.1625413971871143e-06,4.677671756489174e-08,3.0440977071509285e-08,3.585565444144562e-08,4.815830152437572e-09,2.8823728564603787e-08,,,,5.1252821293002e-08,2.5459039184519767e-08,2.505636144300487e-08
Bank Marketing,mean,5.1529462075330226e-08,5.7704866006900834e-08,9.72904421998754e-08,3.415554305184422e-08,2.2212008424021914e-09,2.772701214767283e-08,2.708821122322289e-09,1.608543698239327e-08,2.1519881478335803e-08,5.2339160410755546e-08,1.8113224620677405e-08,1.687583550987438e-08
Bank Marketing,merge,1.4933356431777553e-08,1.0477927197333699e-08,2.6249391975859698e-08,8.31046761163092e-07,3.864790379828558e-08,1.055295499662713e-08,0.004966422864653966,0.002973802352964161,0.004571687442693992,6.6304268987826044e-09,9.740768230491907e-10,4.362033875079106e-09
Bank Marketing,min,1.1215883248604887e-06,1.1960158724798836e-06,6.7291476448392e-07,3.5251053202893074e-08,1.1422991100030259e-09,3.039236334784873e-08,,,,5.770409237716015e-08,2.2059228564900354e-08,3.5745929207324736e-08
