library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,function,,,,,,,,,,,,
Adult,concat_dataframes,1.1755639623152712e-05,6.556406507389174e-06,9.784946785714287e-06,1.4305531567816084e-05,8.652035843678162e-06,1.0032461609195397e-05,1.8996185476190473e-06,5.403259404558404e-06,4.582150596560847e-06,9.58465387684729e-06,7.120459820197042e-06,5.127056564102563e-06
Adult,count,0.00013912675225747132,0.00021838551173448308,0.00021417815080574662,1.7576905581609195e-05,1.8120499894179895e-06,5.173586266009854e-06,6.211312533333335e-06,2.2770133227513227e-06,2.4617998990147782e-06,5.481136333004927e-05,3.950782748160918e-05,1.6428600935960592e-05
Adult,drop,2.2438464764492756e-06,3.40190336904762e-06,1.7382292184615388e-06,1.7861061310541305e-06,5.9035931678160925e-06,3.7511423425925936e-06,5.639972408866995e-06,3.4177236018518507e-06,7.306645327586205e-06,2.9557688660968655e-06,2.1071903188405796e-06,5.974497692307692e-07
Adult,dropna,7.577271596551724e-06,7.543188975369458e-06,5.210099788505747e-06,1.7882881626780623e-05,4.508213337301593e-06,3.281347231481479e-06,8.77021113960114e-05,2.0307210862318834e-05,1.2350283846153848e-05,6.394823935960588e-06,9.549739613300492e-06,1.1334450472906402e-05
Adult,fillna,6.568115619540231e-06,8.532689581609195e-06,8.940650340229884e-06,1.6814544533333333e-05,1.2945327343678164e-05,8.93376828078817e-06,3.624156104679804e-05,5.903004947044334e-05,5.781947546551725e-05,1.3655770424137932e-05,4.477025250712254e-06,1.2278410010344827e-05
Adult,groupby,6.863323679310342e-06,4.9874463091954e-06,4.456714902298851e-06,7.891159498850577e-06,1.0064136815384616e-06,3.5300589988505744e-06,9.916986515669515e-06,4.1793731e-05,2.5716721818181822e-06,9.519261588319085e-05,1.5685464246153838e-05,4.745691692460319e-05
Adult,isna,6.5723225793103465e-06,7.535672437931033e-06,9.249414902298854e-06,3.8085355754985746e-06,2.7081716866096864e-06,2.245863256666666e-06,1.3458123647783251e-05,8.89930941025641e-06,1.6151828266666661e-06,0.00026216225443596056,2.6206152678062677e-06,5.25996555952381e-06
Adult,load_csv,2.6597752455665016e-05,2.5532612623152713e-05,2.77246062857143e-05,0.00011219813473015886,0.00012554249997044346,9.122694579064042e-05,4.755747966995074e-05,5.5547841706896546e-05,4.0641791758620695e-05,0.0007963455709630548,0.0004047691428940889,0.0006162132785270936
Adult,load_json,0.0009597677880000012,0.0025607012130317466,0.0032291016387566117,0.001713406593846152,0.0009510594851794885,0.0014126451236133029,0.0004339606193990149,0.0003833491514039406,0.0005911503940517241,0.005447875658906894,0.0017281844980640397,0.0020336667041203657
Adult,max,2.248913440394089e-05,7.872127775747127e-05,4.61735317354497e-05,7.2315557988505756e-06,2.1476549230769223e-06,7.965171133004928e-07,1.832745245566503e-05,2.105812789408867e-05,1.9555761172413794e-05,3.2901840998850586e-05,2.1703441641025636e-05,1.1375926487179492e-05
Adult,mean,2.247362408994709e-05,3.6174842376847255e-05,3.270276678703701e-05,1.108498720574713e-05,6.1993526945812815e-06,2.569325100529101e-06,2.1572027357471265e-05,1.3218987541871923e-05,1.5595114401477832e-05,4.051338143333332e-06,5.445351195384617e-06,2.0601140615384616e-05
Adult,merge,9.304301793103443e-06,1.0916459551724142e-05,7.525051376847286e-06,3.4868189423645307e-05,3.232711457635471e-05,2.4108469908866962e-05,0.11211675105138184,0.09706482705406876,0.13636757416999518,4.007883173789174e-06,1.12112288226601e-05,9.022478766009852e-06
Adult,min,2.7011349131054148e-05,1.8751040988095216e-05,2.284417243874645e-05,7.2929541160919525e-06,1.8142372010582008e-06,6.105417661538463e-07,,,,2.735610350153846e-05,1.598863039550265e-05,1.796714104433498e-05
Adult,replace,9.297247964367819e-06,1.0458921429885058e-05,8.859001995402295e-06,1.433835818850575e-05,1.220250556436782e-05,1.2684881264367815e-05,,,,9.856657978160919e-06,8.560372234482757e-06,5.7719596653439145e-06
Adult,save_csv,0.003948742388689652,0.0070304290258940815,0.0031071626734536996,0.000983013693389655,0.00023049995486206892,9.215696816551694e-05,8.16815285295567e-05,7.08121529729064e-05,0.00010178554390147783,0.002010257354671265,0.0005279418841620684,0.0005104945461609196
Adult,save_json,0.0034550545438034475,0.002250397201999998,0.006440048237305735,0.00020520342571921148,1.63988262733333e-05,0.0001653437383919539,1.668250685052909e-05,1.3501354465517229e-05,2.162436986772485e-05,0.0010478889821482762,0.00038201628425615735,0.0004947052396551721
Adult,sort,2.3084825246305408e-06,1.566119526153846e-06,3.3868619298941813e-06,1.0452305098850578e-05,3.137648152116401e-06,4.6611896502463035e-06,9.919831086091956e-05,4.7775267310344814e-05,1.655267675846154e-05,2.671032057971014e-06,7.3434984399999995e-06,1.8721318458498022e-06
Adult,sum,2.535825630199429e-05,1.6818198624338616e-05,4.547719311822655e-05,2.629060794871794e-06,3.3122732057471272e-06,2.7496958646153846e-06,4.7445734581280785e-06,4.814817439153438e-06,5.063241280788179e-06,1.8068315189655172e-05,1.754256492460318e-05,2.4773213261083744e-05
Adult,unique,9.32351310256412e-06,2.061168303448279e-05,4.8710796248677235e-05,9.95057936091954e-06,2.2114361375661384e-06,2.1011105502645504e-06,1.1771962221674881e-05,2.164845811576355e-05,1.1792148790640394e-05,5.559822374338626e-06,1.2671352689655173e-05,1.750767366748769e-05
Bank Marketing,concat_dataframes,7.435188251231515e-06,1.122184139901477e-05,3.869606617724866e-06,2.053099254712647e-05,6.362856670634919e-06,2.112799188405797e-06,3.2626578783068788e-06,3.6060480687830707e-06,2.324326487179487e-06,1.0114433137931031e-05,1.0287714784615384e-06,5.389805135467981e-06
Bank Marketing,count,0.00026072660396436775,0.0003001094401625612,0.00025135878327471275,1.1580213564102584e-05,2.262082804712645e-05,2.6215795790640394e-05,4.286921599999999e-07,6.050988137931035e-06,3.7857603214285705e-06,5.905600450216445e-06,8.286045470238095e-05,7.564056657881772e-05
Bank Marketing,drop,2.872189741538462e-06,6.660938242753622e-07,1.0971228461538463e-06,5.633337925925927e-06,1.7037073320197044e-05,1.1695496605911332e-05,2.8844091823361822e-06,7.160351215384616e-07,3.036200233333333e-07,7.757635171957674e-07,6.329912722988504e-06,8.313442766666666e-07
Bank Marketing,dropna,1.120279133846154e-06,2.564518152116402e-06,1.7273927389162564e-06,2.7988184551724143e-05,6.727000126984126e-06,1.4998830396551723e-05,9.735449644927538e-06,1.3749576505434775e-05,1.987859764333334e-05,5.498432841269839e-06,6.234341958128084e-06,6.207538469576724e-06
Bank Marketing,fillna,3.296099174603172e-06,6.913710300000001e-06,6.686085550574712e-06,4.999712706896549e-06,7.127731357142851e-06,1.840944874137932e-05,7.655725961822661e-05,9.847510881527092e-05,8.576494285172415e-05,9.25471972079774e-06,7.771665297101429e-06,4.264531205627707e-06
Bank Marketing,groupby,2.0022554581280793e-06,5.697495016091954e-06,1.7944888138461543e-06,1.0706343291954024e-05,7.6039924379310315e-06,2.250655333333333e-06,7.409940052709361e-05,6.279952895320195e-05,6.77026017586207e-05,4.811651287179476e-05,8.129271610256408e-05,8.890988778999997e-05
Bank Marketing,isna,4.929625627586208e-06,8.445913512643681e-06,2.030476985754986e-06,1.1827185705747126e-05,9.861481495402298e-06,1.5259260047126435e-05,8.982636645021639e-07,1.6368649999999998e-06,3.1505967671957677e-06,0.016156360155867813,8.145266448412702e-06,1.0264711695156694e-05
Bank Marketing,load_csv,8.060040566748767e-05,6.784097832019706e-05,2.7089878285714292e-05,4.21641055584616e-05,9.295085483251232e-05,6.696877935327636e-05,2.091967138177342e-05,2.646480810591132e-05,1.3030392785714256e-05,0.00011073611474876845,0.0002869799960899471,0.00027307051696693105
Bank Marketing,load_json,0.003590716693767199,0.0036316288093491984,0.0015404803696182354,0.00372033185567593,0.0026847634740687835,0.0029775811470264535,0.001942639466261083,0.0013169754313522171,0.0010990377098866984,0.0031552362580264527,0.019553607875955677,0.02242208712827126
Bank Marketing,max,0.00014441576632266015,3.0385811322751333e-05,3.848196618518516e-05,1.1698197103448276e-05,4.0165246182266e-06,3.182476972906406e-06,,,,1.8699858975369456e-05,4.90973978062678e-06,2.599366845849803e-06
Bank Marketing,mean,2.315396535714286e-05,3.1831896744708974e-05,1.8101056455384633e-05,9.341255195402298e-06,4.083231961640212e-06,4.571964490740741e-06,1.4209816571428575e-05,1.3815649992610836e-05,6.819929256410256e-06,2.5797095600000017e-06,8.510342360000003e-06,2.5110868619047617e-06
Bank Marketing,merge,8.408310035714286e-06,1.0254575813492062e-05,8.9923113497537e-06,0.0001137185214236453,3.901328976108367e-05,3.0363382179487124e-05,0.6824390408721356,0.5119473265671861,0.6672536682742491,3.901278879999997e-06,3.4595285071225096e-06,9.904266884057962e-07
Bank Marketing,min,0.0001092338684060847,0.0001077023422010582,7.336585743253967e-05,1.0138058700000003e-05,7.051009636781608e-06,8.882855277777781e-07,,,,3.6820458640000005e-05,1.812101573333335e-06,6.0161067806267835e-06
Bank Marketing,replace,8.968334119540232e-06,7.354421981609197e-06,7.917802598850575e-06,1.8000357733333326e-06,1.7389503999999994e-06,7.197029101538464e-06,8.79336615763547e-05,9.38190289950739e-05,7.052683186453203e-05,9.44130648850575e-06,3.86706355952381e-06,8.854707757471264e-06
