library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,function,,,,,,,,,,,,
Adult,concat_dataframes,1.0,1.0,1.0,0.0,0.0,0.0,9.0,3.0,2.0,1.0,1.0,3.0
Adult,count,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
Adult,drop,6.0,2.0,4.0,3.0,0.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0
Adult,dropna,0.0,1.0,0.0,3.0,2.0,2.0,3.0,6.0,3.0,1.0,1.0,1.0
Adult,fillna,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0
Adult,groupby,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,7.0,3.0,4.0,2.0
Adult,isna,0.0,0.0,0.0,3.0,3.0,5.0,1.0,3.0,5.0,1.0,3.0,2.0
Adult,load_csv,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Adult,load_json,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
Adult,max,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0
Adult,mean,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,5.0,4.0,3.0
Adult,merge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0
Adult,min,3.0,2.0,3.0,0.0,2.0,4.0,,,,4.0,2.0,1.0
Adult,replace,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0
Adult,save_csv,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Adult,save_json,0.0,2.0,0.0,1.0,5.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
Adult,sort,1.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,4.0,6.0,5.0,7.0
Adult,sum,3.0,2.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0
Adult,unique,3.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Bank Marketing,concat_dataframes,1.0,1.0,2.0,0.0,2.0,6.0,2.0,2.0,3.0,1.0,4.0,1.0
Bank Marketing,count,0.0,1.0,0.0,3.0,0.0,1.0,5.0,0.0,2.0,8.0,2.0,1.0
Bank Marketing,drop,4.0,6.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,2.0,0.0,5.0
Bank Marketing,dropna,4.0,2.0,1.0,1.0,2.0,0.0,6.0,6.0,5.0,2.0,1.0,2.0
Bank Marketing,fillna,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,6.0,8.0
Bank Marketing,groupby,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0
Bank Marketing,isna,0.0,0.0,3.0,0.0,0.0,0.0,8.0,5.0,2.0,0.0,2.0,3.0
Bank Marketing,load_csv,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
Bank Marketing,load_json,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
Bank Marketing,max,1.0,2.0,2.0,0.0,1.0,1.0,,,,1.0,3.0,7.0
Bank Marketing,mean,1.0,2.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,5.0,5.0,9.0
Bank Marketing,merge,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,6.0
Bank Marketing,min,2.0,2.0,2.0,0.0,0.0,2.0,,,,5.0,5.0,3.0
Bank Marketing,replace,0.0,0.0,0.0,5.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0
Bank Marketing,save_csv,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0
Bank Marketing,save_json,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0
Bank Marketing,sort,2.0,1.0,0.0,3.0,3.0,4.0,2.0,3.0,6.0,1.0,6.0,7.0
Bank Marketing,sum,5.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0
Bank Marketing,unique,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,3.0
Drug Review,concat_dataframes,5.0,4.0,1.0,0.0,4.0,2.0,0.0,6.0,4.0,7.0,6.0,7.0
Drug Review,count,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0
Drug Review,drop,3.0,6.0,1.0,1.0,6.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0
Drug Review,dropna,0.0,2.0,4.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,3.0,5.0
Drug Review,fillna,1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,0.0
Drug Review,groupby,2.0,5.0,0.0,0.0,2.0,2.0,4.0,2.0,6.0,4.0,1.0,2.0
Drug Review,isna,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,1.0
Drug Review,load_csv,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0
Drug Review,load_json,1.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0
Drug Review,max,1.0,0.0,2.0,0.0,0.0,4.0,,,,0.0,8.0,4.0
Drug Review,mean,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,7.0,6.0
Drug Review,merge,2.0,1.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,5.0,1.0,1.0
Drug Review,min,2.0,3.0,2.0,0.0,4.0,2.0,,,,4.0,0.0,3.0
Drug Review,replace,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0
Drug Review,save_csv,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Drug Review,save_json,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
Drug Review,sort,3.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Drug Review,sum,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,6.0,1.0,6.0,1.0
Drug Review,unique,0.0,0.0,0.0,4.0,3.0,1.0,3.0,1.0,4.0,3.0,5.0,3.0
Student Exam,concat_dataframes,3.0,6.0,2.0,0.0,2.0,5.0,6.0,4.0,4.0,1.0,1.0,2.0
Student Exam,count,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,6.0,1.0
Student Exam,drop,7.0,3.0,6.0,1.0,6.0,1.0,2.0,1.0,7.0,3.0,0.0,3.0
Student Exam,dropna,1.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0
Student Exam,fillna,1.0,2.0,5.0,0.0,2.0,0.0,6.0,2.0,3.0,2.0,3.0,2.0
Student Exam,groupby,2.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
Student Exam,isna,1.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,5.0,2.0,2.0,0.0
Student Exam,load_csv,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0
Student Exam,load_json,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
Student Exam,max,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
Student Exam,mean,3.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,3.0,4.0,1.0
Student Exam,merge,5.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0
Student Exam,min,1.0,2.0,1.0,0.0,0.0,3.0,,,,1.0,5.0,8.0
Student Exam,replace,0.0,1.0,0.0,3.0,5.0,9.0,,,,1.0,0.0,7.0
Student Exam,save_csv,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Student Exam,save_json,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0
Student Exam,sort,0.0,2.0,3.0,2.0,3.0,0.0,4.0,0.0,2.0,1.0,4.0,2.0
Student Exam,sum,1.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0
Student Exam,unique,3.0,2.0,2.0,1.0,5.0,5.0,1.0,8.0,1.0,1.0,3.0,3.0
US Census 1990,concat_dataframes,0.0,3.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0
US Census 1990,count,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
US Census 1990,drop,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0
US Census 1990,dropna,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
US Census 1990,fillna,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
